,Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
363,republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
364,republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
365,democrat,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
366,democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,?
367,democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,?
368,democrat,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
369,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
370,democrat,y,y,y,n,?,y,y,y,n,y,?,?,n,n,y,y
371,democrat,y,y,y,n,?,n,y,y,y,y,n,n,n,n,y,?
372,democrat,n,y,y,y,y,y,n,n,n,n,y,y,?,y,n,n
373,democrat,n,y,y,?,y,y,n,y,n,y,?,n,y,y,?,y
374,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
375,democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
376,democrat,y,?,y,n,n,n,y,y,y,n,y,n,n,n,y,y
377,republican,n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?
378,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
379,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
380,democrat,y,y,y,n,n,y,?,y,y,n,y,n,y,n,y,y
381,democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,?
382,democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,?
383,democrat,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
384,democrat,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
385,democrat,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
386,democrat,n,?,y,n,y,y,n,y,n,n,y,n,n,n,n,?
387,democrat,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,?
388,democrat,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,?
389,democrat,y,n,y,n,n,n,y,y,y,?,y,n,n,n,y,?
390,democrat,?,?,n,n,?,y,?,n,n,n,y,y,n,y,n,?
391,democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
392,republican,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
393,republican,?,?,?,?,n,y,n,y,y,n,n,y,y,n,n,?
394,democrat,y,y,?,?,?,y,n,n,n,n,y,n,y,n,n,y
395,democrat,y,y,y,?,n,n,n,y,n,n,y,?,n,n,y,y
396,democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
397,democrat,y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y
398,democrat,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
399,republican,n,y,n,y,?,y,n,n,n,y,n,y,y,y,n,n
400,republican,n,y,n,y,y,y,n,?,n,n,?,?,?,y,n,?
401,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
402,republican,?,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
403,republican,n,y,n,y,y,y,n,n,n,y,n,y,?,y,n,n
404,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
405,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
406,democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
407,democrat,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
408,democrat,y,n,y,n,n,y,y,y,y,n,n,y,?,y,y,y
409,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
410,republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
411,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
412,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
413,republican,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y
414,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
415,democrat,n,y,y,n,n,y,y,y,?,y,n,n,n,n,n,y
416,republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
417,democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
418,democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
419,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
420,republican,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
421,democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
422,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
423,democrat,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
424,democrat,n,y,y,n,n,?,y,y,y,y,y,n,?,y,y,y
425,democrat,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,?
426,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
427,republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
428,democrat,?,?,?,n,n,n,y,y,y,y,n,n,y,n,y,y
429,democrat,y,n,y,n,?,n,y,y,y,y,n,y,n,?,y,y
430,republican,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
431,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
432,republican,n,?,n,y,y,y,n,n,n,n,y,y,y,y,n,y
433,republican,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y
434,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,?,n
